year,month,cover_image_url,features,season,secondary_color_1,secondary_color_2,secondary_color_3,secondary_color_4,primary_color
1999,December,https://architecturaldigest.blob.core.windows.net/architecturaldigest19991201thumbnails/Covers/0x600/19991201.jpg,"[{'title': 'AD at LARGE', 'link': 'https://archive.architecturaldigest.com/article/1999/12/ad-at-large'}, {'title': 'FOR COLLECTORS: THE ALLURE OF ANCIENT JEWELRY', 'link': 'https://archive.architecturaldigest.com/article/1999/12/the-allure-of-ancient-jewelry'}, {'title': 'FEDERAL SPIRIT FOR MANHATTAN', 'link': 'https://archive.architecturaldigest.com/article/1999/12/federal-spirit-for-manhattan'}]",Winter,whitesmoke,sienna,maroon,tan,peru
2000,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest20000101thumbnails/Covers/0x600/20000101.jpg,"[{'title': 'The AD 100', 'link': 'https://archive.architecturaldigest.com/article/2000/1/the-ad-100'}, {'title': 'Elsie de Wolfe', 'link': 'https://archive.architecturaldigest.com/article/2000/1/elsie-de-wolfe'}, {'title': 'Frances Elkins', 'link': 'https://archive.architecturaldigest.com/article/2000/1/frances-elkins'}]",Winter,whitesmoke,darkslategrey,darkgrey,dimgrey,grey
2000,February,https://architecturaldigest.blob.core.windows.net/architecturaldigest20000201thumbnails/Covers/0x600/20000201.jpg,"[{'title': 'HOME-OFFICE DILEMMAS', 'link': 'https://archive.architecturaldigest.com/article/2000/2/home-office-dilemmas'}, {'title': 'NANCY COLLINS', 'link': 'https://archive.architecturaldigest.com/article/2000/2/nancy-collins'}, {'title': 'LONDON CALLING', 'link': 'https://archive.architecturaldigest.com/article/2000/2/london-calling'}]",Winter,whitesmoke,tan,black,peru,saddlebrown
2000,March,https://architecturaldigest.blob.core.windows.net/architecturaldigest20000301thumbnails/Covers/0x600/20000301.jpg,"[{'title': 'ARTHUR WESLEY DOW', 'link': 'https://archive.architecturaldigest.com/article/2000/3/arthur-wesley-dow'}, {'title': 'SYDNEY SOURCES', 'link': 'https://archive.architecturaldigest.com/article/2000/3/sydney-sources'}, {'title': 'PAST PERFECT IN NEW YORK CITY', 'link': 'https://archive.architecturaldigest.com/article/2000/3/past-perfect-in-new-york-city'}]",Spring,darkslategrey,grey,darkolivegreen,whitesmoke,silver
2000,April,https://architecturaldigest.blob.core.windows.net/architecturaldigest20000401thumbnails/Covers/0x600/20000401.jpg,"[{'title': ""JAMAICA'S GOLDENEYE"", 'link': 'https://archive.architecturaldigest.com/article/2000/4/jamaicas-goldeneye'}, {'title': 'CHARLES BOYER', 'link': 'https://archive.architecturaldigest.com/article/2000/4/charles-boyer'}, {'title': 'SELLING MARILYN MONROE', 'link': 'https://archive.architecturaldigest.com/article/2000/4/selling-marilyn-monroe'}]",Spring,linen,darkgrey,dimgrey,midnightblue,black
2000,May,https://architecturaldigest.blob.core.windows.net/architecturaldigest20000501thumbnails/Covers/0x600/20000501.jpg,"[{'title': 'PHILIP JOHNSON IN GERMANY', 'link': 'https://archive.architecturaldigest.com/article/2000/5/philip-johnson-in-germany'}, {'title': 'ELTON JOHN', 'link': 'https://archive.architecturaldigest.com/article/2000/5/elton-john'}, {'title': 'HYBRID SEEDS', 'link': 'https://archive.architecturaldigest.com/article/2000/5/hybrid-seeds'}]",Spring,darkslategrey,linen,sienna,rosybrown,wheat
2000,June,https://architecturaldigest.blob.core.windows.net/architecturaldigest20000601thumbnails/Covers/0x600/20000601.jpg,"[{'title': 'SPECIAL SECTION—AMERICAN COUNTRY HOUSES', 'link': 'https://archive.architecturaldigest.com/article/2000/6/special-section-american-country-houses'}, {'title': 'A LAKE SUPERIOR STORY', 'link': 'https://archive.architecturaldigest.com/article/2000/6/a-lake-superior-story'}, {'title': 'AD at LARGE', 'link': 'https://archive.architecturaldigest.com/article/2000/6/ad-at-large'}]",Summer,whitesmoke,black,sienna,tan,darkolivegreen
2000,July,https://architecturaldigest.blob.core.windows.net/architecturaldigest20000701thumbnails/Covers/0x600/20000701.jpg,"[{'title': 'Le Corbusier in Argentina', 'link': 'https://archive.architecturaldigest.com/article/2000/7/le-corbusier-in-argentina'}, {'title': 'Dial I for Internet', 'link': 'https://archive.architecturaldigest.com/article/2000/7/dial-i-for-internet'}, {'title': ""Ireland's Rising Star"", 'link': 'https://archive.architecturaldigest.com/article/2000/7/irelands-rising-star'}]",Summer,saddlebrown,whitesmoke,rosybrown,sienna,silver
2000,August,https://architecturaldigest.blob.core.windows.net/architecturaldigest20000801thumbnails/Covers/0x600/20000801.jpg,"[{'title': 'Special Section—international Estates', 'link': 'https://archive.architecturaldigest.com/article/2000/8/special-section-international-estates'}, {'title': ""Barba's Barcelona"", 'link': 'https://archive.architecturaldigest.com/article/2000/8/barbas-barcelona'}, {'title': ""Cambodia's Royal Palace"", 'link': 'https://archive.architecturaldigest.com/article/2000/8/cambodias-royal-palace'}]",Summer,whitesmoke,darkslateblue,saddlebrown,darkkhaki,black
2000,September,https://architecturaldigest.blob.core.windows.net/architecturaldigest20000901thumbnails/Covers/0x600/20000901.jpg,"[{'title': 'INTRODUCING NEW LINES', 'link': 'https://archive.architecturaldigest.com/article/2000/9/introducing-new-lines'}, {'title': 'VOICE-RECOGNITION TECHNOLOGY', 'link': 'https://archive.architecturaldigest.com/article/2000/9/voice-recognition-technology'}, {'title': 'VINTAGE VIRGINIA', 'link': 'https://archive.architecturaldigest.com/article/2000/9/vintage-virginia'}]",Fall,darkolivegreen,linen,sienna,black,rosybrown
