year,month,cover_image_url,features,season,secondary_color_1,secondary_color_2,secondary_color_3,secondary_color_4,primary_color
1922,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19220101thumbnails/Covers/0x600/19220101.jpg,"[{'title': 'I. N. VAN NUYS BUILDING —LOS ANGELES', 'link': 'https://archive.architecturaldigest.com/article/1922/1/i-n-van-nuys-building---los-angeles'}, {'title': 'L. A. STOCK EXCHANGE BUILDING —LOS ANGELES', 'link': 'https://archive.architecturaldigest.com/article/1922/1/l-a-stock-exchange-building---los-angeles'}, {'title': 'Introductory', 'link': 'https://archive.architecturaldigest.com/article/1922/1/introductory'}]",Winter,darkolivegreen,tan,rosybrown,,burlywood
1923,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19230101thumbnails/Covers/0x600/19230101.jpg,"[{'title': 'A Musical Hobby for Everyday Riding', 'link': 'https://archive.architecturaldigest.com/article/1923/1/a-musical-hobby-for-everyday-riding'}, {'title': ""History's Pages Turn on the Hinges of the Doors of the World"", 'link': 'https://archive.architecturaldigest.com/article/1923/1/historys-pages-turn-on-the-hinges-of-the-doors-of-the-world'}, {'title': 'Brick for Beauty, Economy, Safety and Permanence', 'link': 'https://archive.architecturaldigest.com/article/1923/1/brick-for-beauty-economy-safety-and-permanence'}]",Winter,darkslategrey,,,,black
1925,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19250101thumbnails/Covers/0x600/19250101.jpg,"[{'title': 'Estate of Benjamin R. Meyer, Beverly Hills — Johnson, Kaufmann & Coate, Architects and Paul G. Thiene, Landscape Architect', 'link': 'https://archive.architecturaldigest.com/article/1925/1/estate-of-benjamin-r-meyer-beverly-hills---johnson-kaufmann-coate-architects-and-paul-g-thiene-lands'}, {'title': 'foreword', 'link': 'https://archive.architecturaldigest.com/article/1925/1/foreword'}, {'title': 'O. Nicholas Gabriel, House, Oak Knoll Park, Pasadena — Roland E. Coate, Architect', 'link': 'https://archive.architecturaldigest.com/article/1925/1/o-nicholas-gabriel-house-oak-knoll-park-pasadena---roland-e-coate-architect'}]",Winter,black,,,,darkslategrey
1926,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19260101thumbnails/Covers/0x600/19260101.jpg,"[{'title': 'A SPECIAL SECTION OF TEN PAGES DEVOTED TO The Elks Club — SAN FRANCISCO — Frederick H. Meyer and Albin R. Johnson, Architects', 'link': 'https://archive.architecturaldigest.com/article/1926/1/a-special-section-of-ten-pages-devoted-to-the-elks-club---san-francisco---frederick-h-meyer-and-albi'}, {'title': 'C. F. DeWitt House, Hollywood — Charles H. Kyson, Architect', 'link': 'https://archive.architecturaldigest.com/article/1926/1/c-f-dewitt-house-hollywood---charles-h-kyson-architect'}, {'title': 'Robert Overell House, Beverly Hills', 'link': 'https://archive.architecturaldigest.com/article/1926/1/robert-overell-house-beverly-hills'}]",Winter,darkslategrey,,,,black
1926,February,https://architecturaldigest.blob.core.windows.net/architecturaldigest19260201thumbnails/Covers/0x600/19260201.jpg,"[{'title': 'Elks Club—Los Angeles—Curlett & Beelman, Architects', 'link': 'https://archive.architecturaldigest.com/article/1926/2/elks-club--los-angeles--curlett-beelman-architects'}, {'title': 'Barker Bros. Building, Los Angeles', 'link': 'https://archive.architecturaldigest.com/article/1926/2/barker-bros-building-los-angeles'}, {'title': 'Club Casa Del Mar, Santa Monica', 'link': 'https://archive.architecturaldigest.com/article/1926/2/club-casa-del-mar-santa-monica'}]",Winter,grey,darkslategrey,dimgrey,,black
1927,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19270101thumbnails/Covers/0x600/19270101.jpg,"[{'title': 'FOREWORD', 'link': 'https://archive.architecturaldigest.com/article/1927/1/foreword'}, {'title': 'House of I. Eisner, Los Angeles—Gordon B. Kaufmann, Architect', 'link': 'https://archive.architecturaldigest.com/article/1927/1/house-of-i-eisner-los-angeles-gordon-b-kaufmann-architect'}, {'title': 'House of Frances Marion Thompson, Beverly Hills—Wallace Neff, Architect', 'link': 'https://archive.architecturaldigest.com/article/1927/1/house-of-frances-marion-thompson-beverly-hills-wallace-neff-architect'}]",Winter,black,darkslategrey,,dimgrey,grey
1928,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19280101thumbnails/Covers/0x600/19280101.jpg,"[{'title': 'FOREWORD', 'link': 'https://archive.architecturaldigest.com/article/1928/1/foreword'}, {'title': 'Roosevelt Building, Los Angeles—Curlett & Beelman, Architects; Sun Realty Company, Owners', 'link': 'https://archive.architecturaldigest.com/article/1928/1/roosevelt-building-los-angeles-curlett-beelman-architects-sun-realty-company-owners'}, {'title': ""Pig'n Whistle, Hollywood—Morgan, Walls & Clements, Architects"", 'link': 'https://archive.architecturaldigest.com/article/1928/1/pign-whistle-hollywood-morgan-walls-clements-architects'}]",Winter,darkslategrey,,,,black
1929,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19290101thumbnails/Covers/0x600/19290101.jpg,"[{'title': 'Ranch of Mr. and Mrs. W. K. Kellogg, Near Pomona—Myron Hunt and H. C. Chambers, Architects', 'link': 'https://archive.architecturaldigest.com/article/1929/1/ranch-of-mr-and-mrs-w-k-kellogg-near-pomona-myron-hunt-and-h-c-chambers-architects'}, {'title': 'Residence of Mr. and Mrs. Arthur Letts, Holmby Hills, Los Angeles —Arthur Kelly, Architect; Joe Estep, Associate', 'link': 'https://archive.architecturaldigest.com/article/1929/1/residence-of-mr-and-mrs-arthur-letts-holmby-hills-los-angeles--arthur-kelly-architect-joe-estep-asso'}, {'title': 'Residence of Mr. and Mrs. Milton E. Getz, Beverly Hills—Gordon B. Kaufmann, Architect', 'link': 'https://archive.architecturaldigest.com/article/1929/1/residence-of-mr-and-mrs-milton-e-getz-beverly-hills-gordon-b-kaufmann-architect'}]",Winter,rosybrown,darkolivegreen,dimgrey,,darkslategrey
1929,February,https://architecturaldigest.blob.core.windows.net/architecturaldigest19290201thumbnails/Covers/0x600/19290201.jpg,"[{'title': 'Residence of Mr. and Mrs. E. L. Doheny, Jr., Beverly Hills—Gordon B. Kaufmann, Architect', 'link': 'https://archive.architecturaldigest.com/article/1929/2/residence-of-mr-and-mrs-e-l-doheny-jr-beverly-hills-gordon-b-kaufmann-architect'}, {'title': 'Residence of Mr. and Mrs. O. B. English, Beverly Hills—Arthur Kelly, Architect; Joe Estep, Associate', 'link': 'https://archive.architecturaldigest.com/article/1929/2/residence-of-mr-and-mrs-o-b-english-beverly-hills-arthur-kelly-architect-joe-estep-associate'}, {'title': 'Times Demonstration Home, Miramar Estates—Mark Daniels, Architect', 'link': 'https://archive.architecturaldigest.com/article/1929/2/times-demonstration-home-miramar-estates-mark-daniels-architect'}]",Winter,darkgrey,dimgrey,darkolivegreen,,darkslategrey
1929,March,https://architecturaldigest.blob.core.windows.net/architecturaldigest19290301thumbnails/Covers/0x600/19290301.jpg,"[{'title': 'Hotel Agua Caliente, Agua Caliente, Old Mexico—Wayne D. McAllister, Designer', 'link': 'https://archive.architecturaldigest.com/article/1929/3/hotel-agua-caliente-agua-caliente-old-mexico-wayne-d-mcallister-designer'}, {'title': ""Bullock's Wilshire, Los Angeles — John Parkinson and Donald B. Parkinson, Architects"", 'link': 'https://archive.architecturaldigest.com/article/1929/3/bullocks-wilshire-los-angeles---john-parkinson-and-donald-b-parkinson-architects'}, {'title': 'Sunnyside Mausoleum, Long Beach—Clarence L. Jay, Architect; Cecil E. Bryan, Engineer', 'link': 'https://archive.architecturaldigest.com/article/1929/3/sunnyside-mausoleum-long-beach-clarence-l-jay-architect-cecil-e-bryan-engineer'}]",Spring,darkolivegreen,dimgrey,,,darkslategrey
1930,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19300101thumbnails/Covers/0x600/19300101.jpg,"[{'title': 'Residence of Mr. and Mrs. M. H. Adamson, Rindge Ranch — Morgan, Walls & Clements, Architects', 'link': 'https://archive.architecturaldigest.com/article/1930/1/residence-of-mr-and-mrs-m-h-adamson-rindge-ranch---morgan-walls-clements-architects'}, {'title': 'Residence of Mr. and Mrs. Gordon B. Kaufmann, Holmby Hills — Gordon B. Kaufmann, Architect', 'link': 'https://archive.architecturaldigest.com/article/1930/1/residence-of-mr-and-mrs-gordon-b-kaufmann-holmby-hills---gordon-b-kaufmann-architect'}, {'title': 'Residence of Mr. and Mrs. John McCormick, (Colleen Moore), Bel-Air—T. J. Scott, Designer', 'link': 'https://archive.architecturaldigest.com/article/1930/1/residence-of-mr-and-mrs-john-mccormick-colleen-moore-bel-air-t-j-scott-designer'}]",Winter,rosybrown,black,darkolivegreen,tan,grey
1930,February,https://architecturaldigest.blob.core.windows.net/architecturaldigest19300201thumbnails/Covers/0x600/19300201.jpg,"[{'title': 'Residence of Mr. and Mrs. Harold Lloyd, Beverly Hills — Webber and Spaulding, Architects', 'link': 'https://archive.architecturaldigest.com/article/1930/2/residence-of-mr-and-mrs-harold-lloyd-beverly-hills---webber-and-spaulding-architects'}, {'title': 'Residence of Mr. and Mrs. Earle C. Anthony, Los Angeles—Bernard R. Maybeck, Architect', 'link': 'https://archive.architecturaldigest.com/article/1930/2/residence-of-mr-and-mrs-earle-c-anthony-los-angeles-bernard-r-maybeck-architect'}, {'title': 'Residence of Mr. and Mrs. B. J. Badham, Sr., Los Angeles—Ray J. Kieffer, Architect', 'link': 'https://archive.architecturaldigest.com/article/1930/2/residence-of-mr-and-mrs-b-j-badham-sr-los-angeles-ray-j-kieffer-architect'}]",Winter,darkslategrey,darkolivegreen,,,black
1931,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19310101thumbnails/Covers/0x600/19310101.jpg,"[{'title': 'Kerckhoff Hall —University of California at Los Angeles — Allison & Allison, Architects; George W. Kelham, Supervising Architect', 'link': 'https://archive.architecturaldigest.com/article/1931/1/kerckhoff-hall---university-of-california-at-los-angeles---allison-allison-architects-george-w-kelha'}, {'title': 'Edison Building, Los Angeles — Allison & Allison, Architects', 'link': 'https://archive.architecturaldigest.com/article/1931/1/edison-building-los-angeles---allison-allison-architects'}, {'title': 'California Club, Los Angeles — Robert D. Farquhar, Architect; George W. Kelham, Consulting Architect', 'link': 'https://archive.architecturaldigest.com/article/1931/1/california-club-los-angeles---robert-d-farquhar-architect-george-w-kelham-consulting-architect'}]",Winter,black,dimgrey,,,darkslategrey
1931,February,https://architecturaldigest.blob.core.windows.net/architecturaldigest19310201thumbnails/Covers/0x600/19310201.jpg,"[{'title': 'Residence of Mr. and Mrs. Charles J. Wild, Los Angeles—Elmer Grey, Architect', 'link': 'https://archive.architecturaldigest.com/article/1931/2/residence-of-mr-and-mrs-charles-j-wild-los-angeles-elmer-grey-architect'}, {'title': 'Residence of Mr. and Mrs. Irving G. Thalberg (Norma Shearer), Santa Monica—John Byers, Architect', 'link': 'https://archive.architecturaldigest.com/article/1931/2/residence-of-mr-and-mrs-irving-g-thalberg-norma-shearer-santa-monica-john-byers-architect'}, {'title': 'Residence of Mr. and Mrs. Oscar A. Trippel, “The Riviera,” Los Angeles—Gerard R. Colcord, Architect', 'link': 'https://archive.architecturaldigest.com/article/1931/2/residence-of-mr-and-mrs-oscar-a-trippel-the-riviera-los-angeles-gerard-r-colcord-architect'}]",Winter,black,,,,darkslategrey
1931,March,https://architecturaldigest.blob.core.windows.net/architecturaldigest19310301thumbnails/Covers/0x600/19310301.jpg,"[{'title': 'Edward L. Doheny Jr. Memorial Library—Cram & Ferguson and Samuel E. Lunden, Architects —University of Southern California, Los Angeles', 'link': 'https://archive.architecturaldigest.com/article/1931/3/edward-l-doheny-jr-memorial-library-cram-ferguson-and-samuel-e-lunden-architects--university-of-sout'}, {'title': 'Beverly Hills City Hall, Beverly Hills —Koerner & Gage, Architects; John C. Austin & Frederic M. Ashley, Consulting Architects', 'link': 'https://archive.architecturaldigest.com/article/1931/3/beverly-hills-city-hall-beverly-hills--koerner-gage-architects-john-c-austin-frederic-m-ashley-consu'}, {'title': 'Atheneum California Institute of Technology, Pasadena—Gordon B. Kaufmann, Architect', 'link': 'https://archive.architecturaldigest.com/article/1931/3/atheneum-california-institute-of-technology-pasadena-gordon-b-kaufmann-architect'}]",Spring,darkslategrey,darkolivegreen,,,black
1933,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19330101thumbnails/Covers/0x600/19330101.jpg,"[{'title': 'EXHIBITION OF ARCHITECTURAL WATER COLORS', 'link': 'https://archive.architecturaldigest.com/article/1933/1/exhibition-of-architectural-water-colors'}, {'title': 'Residence of Mr. and Mrs. E. L. Cord, Beverly Hills', 'link': 'https://archive.architecturaldigest.com/article/1933/1/residence-of-mr-and-mrs-e-l-cord-beverly-hills'}, {'title': 'Residence of Mr. and Mrs. D. W. Douglas, Santa Monica By L. B. Norman', 'link': 'https://archive.architecturaldigest.com/article/1933/1/residence-of-mr-and-mrs-d-w-douglas-santa-monica-by-l-b-norman'}]",Winter,sienna,grey,darkolivegreen,darkgrey,rosybrown
1934,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19340101thumbnails/Covers/0x600/19340101.jpg,"[{'title': 'A Film Star Builds a Home', 'link': 'https://archive.architecturaldigest.com/article/1934/1/a-film-star-builds-a-home'}, {'title': 'THE RIGHT WAY TO DO EXTERIOR STUCCO ON FRAME CONSTRUCTION', 'link': 'https://archive.architecturaldigest.com/article/1934/1/the-right-way-to-do-exterior-stucco-on-frame-construction'}, {'title': 'ALL—ELECTRIC HOMES', 'link': 'https://archive.architecturaldigest.com/article/1934/1/all-electric-homes'}]",Winter,darkslategrey,darkseagreen,,dimgrey,slategrey
1935,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19350101thumbnails/Covers/0x600/19350101.jpg,"[{'title': ""Forecasting Tomorrow's Living..."", 'link': 'https://archive.architecturaldigest.com/article/1935/1/forecasting-tomorrows-living'}, {'title': 'Residence of Mr. William Powell, Beverly Hills—J. E. Dolena, Architect', 'link': 'https://archive.architecturaldigest.com/article/1935/1/residence-of-mr-william-powell-beverly-hills-j-e-dolena-architect'}, {'title': 'Bel-Air English Home, Bel-Air—John Myers, Architect; Edla Muir, Associate', 'link': 'https://archive.architecturaldigest.com/article/1935/1/bel-air-english-home-bel-air-john-myers-architect-edla-muir-associate'}]",Winter,darkslategrey,,,,black
1938,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19380101thumbnails/Covers/0x600/19380101.jpg,"[{'title': 'EXHIBITION OF ARCHITECTURAL WATER COLORS', 'link': 'https://archive.architecturaldigest.com/article/1938/1/exhibition-of-architectural-water-colors'}, {'title': 'BRICK CONSTRUCTION IN SOUTHERN FRANCE', 'link': 'https://archive.architecturaldigest.com/article/1938/1/brick-construction-in-southern-france'}, {'title': 'Why I Install Electric Heating in My Homes', 'link': 'https://archive.architecturaldigest.com/article/1938/1/why-i-install-electric-heating-in-my-homes'}]",Winter,darkolivegreen,darkslategrey,,,dimgrey
1938,February,https://architecturaldigest.blob.core.windows.net/architecturaldigest19380201thumbnails/Covers/0x600/19380201.jpg,"[{'title': 'EXHIBITION OF ARCHITECTURAL WATER COLORS', 'link': 'https://archive.architecturaldigest.com/article/1938/2/exhibition-of-architectural-water-colors'}, {'title': 'Residence of Mr. and Mrs. Fred MacMurray, Brentwood Heights — W. George Lutzi, Architect', 'link': 'https://archive.architecturaldigest.com/article/1938/2/residence-of-mr-and-mrs-fred-macmurray-brentwood-heights---w-george-lutzi-architect'}, {'title': 'Estate of Mr. and Mrs. Arthur Hornblow, Jr. (Myrna Loy), Los Angeles—Roland E. Coate, Architect', 'link': 'https://archive.architecturaldigest.com/article/1938/2/estate-of-mr-and-mrs-arthur-hornblow-jr-myrna-loy-los-angeles-roland-e-coate-architect'}]",Winter,rosybrown,dimgrey,black,darkolivegreen,darkslategrey
1939,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19390101thumbnails/Covers/0x600/19390101.jpg,"[{'title': 'Courtesy J. RACZKA', 'link': 'https://archive.architecturaldigest.com/article/1939/1/courtesy-j-raczka'}, {'title': 'Residence of Mr. and Mrs. Pandro S. Berman, Beverly Hills—Roland E. Coate, Architect', 'link': 'https://archive.architecturaldigest.com/article/1939/1/residence-of-mr-and-mrs-pandro-s-berman-beverly-hills-roland-e-coate-architect'}, {'title': 'Residence of Mr. and Mrs. Edmund Locke, Santa Anita Oaks—Gerard R. Colcord, Architect', 'link': 'https://archive.architecturaldigest.com/article/1939/1/residence-of-mr-and-mrs-edmund-locke-santa-anita-oaks-gerard-r-colcord-architect'}]",Winter,dimgrey,rosybrown,darkslategrey,darkolivegreen,grey
1941,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19410101thumbnails/Covers/0x600/19410101.jpg,"[{'title': 'Residence of Mrs. Hilda Boldt Weber, Bel-Air, Los Angeles, California', 'link': 'https://archive.architecturaldigest.com/article/1941/1/residence-of-mrs-hilda-boldt-weber-bel-air-los-angeles-california'}, {'title': 'Residence of Mr. and Mrs. Benjamin T. Gale, Brentwood Park, California', 'link': 'https://archive.architecturaldigest.com/article/1941/1/residence-of-mr-and-mrs-benjamin-t-gale-brentwood-park-california'}, {'title': 'Our Sincere Appreciation to the Architects, Landscape Architects, Sculptors and Interior Decorators Who Have So Generously Contributed To This Issue of THE ARCHITECTURAL DIGEST. Their Names and Addresses Are Given Below', 'link': 'https://archive.architecturaldigest.com/article/1941/1/our-sincere-appreciation-to-the-architects-landscape-architects-sculptors-and-interior-decorators-wh'}]",Winter,,rosybrown,dimgrey,black,darkslategrey
1943,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19430101thumbnails/Covers/0x600/19430101.jpg,"[{'title': 'Residence of Mr. and Mrs. Romayne S. Baker, Houston, Texas', 'link': 'https://archive.architecturaldigest.com/article/1943/1/residence-of-mr-and-mrs-romayne-s-baker-houston-texas'}, {'title': 'Residence of Mrs. John Wesley Harris, Bel-Air, Los Angeles, California', 'link': 'https://archive.architecturaldigest.com/article/1943/1/residence-of-mrs-john-wesley-harris-bel-air-los-angeles-california'}, {'title': 'Residence of Mrs. M. R. Osburn, Los Angeles, California', 'link': 'https://archive.architecturaldigest.com/article/1943/1/residence-of-mrs-m-r-osburn-los-angeles-california'}]",Winter,black,dimgrey,,,darkslategrey
1945,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19450101thumbnails/Covers/0x600/19450101.jpg,"[{'title': 'Residence of Miss Deanna Durbin, Beverly Hills, California', 'link': 'https://archive.architecturaldigest.com/article/1945/1/residence-of-miss-deanna-durbin-beverly-hills-california'}, {'title': 'Residence of Col. and Mrs. David L. Reeves, Santa Barbara, California', 'link': 'https://archive.architecturaldigest.com/article/1945/1/residence-of-col-and-mrs-david-l-reeves-santa-barbara-california'}, {'title': 'Residence of Mr. and Mrs. Everett N. Crosby, Bel Air, California', 'link': 'https://archive.architecturaldigest.com/article/1945/1/residence-of-mr-and-mrs-everett-n-crosby-bel-air-california'}]",Winter,darkslategrey,darkgrey,dimgrey,,grey
1946,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19460101thumbnails/Covers/0x600/19460101.jpg,"[{'title': 'Residence of Mr. and Mrs. Hollis S. Baker, Grand Rapids, Michigan', 'link': 'https://archive.architecturaldigest.com/article/1946/1/residence-of-mr-and-mrs-hollis-s-baker-grand-rapids-michigan'}, {'title': 'Residence of Mr. and Mrs. Remy L. Chatain, Los Angeles', 'link': 'https://archive.architecturaldigest.com/article/1946/1/residence-of-mr-and-mrs-remy-l-chatain-los-angeles'}, {'title': 'Residence of Mr. and Mrs. W. E. Sievers, Whittier, California', 'link': 'https://archive.architecturaldigest.com/article/1946/1/residence-of-mr-and-mrs-w-e-sievers-whittier-california'}]",Winter,darkslategrey,rosybrown,,grey,dimgrey
1946,February,https://architecturaldigest.blob.core.windows.net/architecturaldigest19460201thumbnails/Covers/0x600/19460201.jpg,"[{'title': 'Residence of Mr. and Mrs. Sydney George Ross II — Beverly Hills, California', 'link': 'https://archive.architecturaldigest.com/article/1946/2/residence-of-mr-and-mrs-sydney-george-ross-ii---beverly-hills-california'}, {'title': 'FOREWORD', 'link': 'https://archive.architecturaldigest.com/article/1946/2/foreword'}, {'title': 'Residence of Mr. and Mrs. M. Burton Armstrong — Bel Air, California', 'link': 'https://archive.architecturaldigest.com/article/1946/2/residence-of-mr-and-mrs-m-burton-armstrong---bel-air-california'}]",Winter,grey,darkolivegreen,tan,dimgrey,darkslategrey
1947,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19470101thumbnails/Covers/0x600/19470101.jpg,"[{'title': 'Residence of Dr. Richard A. Carter — Garden Grove, California', 'link': 'https://archive.architecturaldigest.com/article/1947/1/residence-of-dr-richard-a-carter---garden-grove-california'}, {'title': 'Palm Springs Tennis Club, Palm Springs, California', 'link': 'https://archive.architecturaldigest.com/article/1947/1/palm-springs-tennis-club-palm-springs-california'}, {'title': 'Residence of Mr. and Mrs. Eugene Gold, Beverly Hills, California', 'link': 'https://archive.architecturaldigest.com/article/1947/1/residence-of-mr-and-mrs-eugene-gold-beverly-hills-california'}]",Winter,black,darkslategrey,,,dimgrey
1948,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19480101thumbnails/Covers/0x600/19480101.jpg,"[{'title': ""BULLOCK'S PASADENA"", 'link': 'https://archive.architecturaldigest.com/article/1948/1/bullocks-pasadena-2'}, {'title': 'Residence of Mr. and Mrs. Max Factor, Beverly Hills, California', 'link': 'https://archive.architecturaldigest.com/article/1948/1/residence-of-mr-and-mrs-max-factor-beverly-hills-california'}, {'title': 'Field Foto Farm, Encino, California', 'link': 'https://archive.architecturaldigest.com/article/1948/1/field-foto-farm-encino-california'}]",Winter,darkslategrey,,black,dimgrey,grey
1948,February,https://architecturaldigest.blob.core.windows.net/architecturaldigest19480201thumbnails/Covers/0x600/19480201.jpg,"[{'title': 'Oceanhouse — Santa Monica, California', 'link': 'https://archive.architecturaldigest.com/article/1948/2/oceanhouse---santa-monica-california'}, {'title': 'Residence of Mr. and Mrs. Manchester Boddy — Flintridge, California', 'link': 'https://archive.architecturaldigest.com/article/1948/2/residence-of-mr-and-mrs-manchester-boddy---flintridge-california'}, {'title': 'Residence of Mr. and Mrs. M. Burton Armstrong — Bel-Air, California', 'link': 'https://archive.architecturaldigest.com/article/1948/2/residence-of-mr-and-mrs-m-burton-armstrong---bel-air-california'}]",Winter,darkslategrey,,rosybrown,dimgrey,grey
1949,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19490101thumbnails/Covers/0x600/19490101.jpg,"[{'title': 'Residence of Mr. and Mrs. Alan Ladd — Holmby Hills, California', 'link': 'https://archive.architecturaldigest.com/article/1949/1/residence-of-mr-and-mrs-alan-ladd---holmby-hills-california'}, {'title': 'Residence of Katherine Muselwhite —Los Angeles, California', 'link': 'https://archive.architecturaldigest.com/article/1949/1/residence-of-katherine-muselwhite---los-angeles-california'}, {'title': 'Carnation Building Los Angeles, California', 'link': 'https://archive.architecturaldigest.com/article/1949/1/carnation-building-los-angeles-california'}]",Winter,darkolivegreen,dimgrey,grey,darkslategrey,rosybrown
1950,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19500101thumbnails/Covers/0x600/19500101.jpg,"[{'title': 'Brook Hollow Golf Club —Dallas, Texas', 'link': 'https://archive.architecturaldigest.com/article/1950/1/brook-hollow-golf-club--dallas-texas'}, {'title': 'Room Settings by C. W. STOCKWELL CO. (Pacific Coast Distributors for the Waterhouse Collection)', 'link': 'https://archive.architecturaldigest.com/article/1950/1/room-settings-by-c-w-stockwell-co-pacific-coast-distributors-for-the-waterhouse-collection'}, {'title': 'The New W & J Sloane Building —Beverly Hills, California', 'link': 'https://archive.architecturaldigest.com/article/1950/1/the-new-w-j-sloane-building--beverly-hills-california'}]",Winter,darkslategrey,grey,dimgrey,black,darkolivegreen
1951,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19510101thumbnails/Covers/0x600/19510101.jpg,"[{'title': 'Residence of Mr. and Mrs. Harry T. Sheridan West Los Angeles, California', 'link': 'https://archive.architecturaldigest.com/article/1951/1/residence-of-mr-and-mrs-harry-t-sheridan-west-los-angeles-california'}, {'title': 'Highland Park Methodist Church, on S.M.U. Campus Dallas, Texas', 'link': 'https://archive.architecturaldigest.com/article/1951/1/highland-park-methodist-church-on-smu-campus-dallas-texas'}, {'title': 'Residence of Mr. and Mrs. Carl Naumann Beverly Hills, California', 'link': 'https://archive.architecturaldigest.com/article/1951/1/residence-of-mr-and-mrs-carl-naumann-beverly-hills-california'}]",Winter,dimgrey,darkslategrey,grey,,black
1951,February,https://architecturaldigest.blob.core.windows.net/architecturaldigest19510201thumbnails/Covers/0x600/19510201.jpg,"[{'title': 'Modern Directoire Town House of Mr. Tom Douglas —Hollywood, California', 'link': 'https://archive.architecturaldigest.com/article/1951/2/modern-directoire-town-house-of-mr-tom-douglas--hollywood-california'}, {'title': 'Residence of Mr. Charles P. McGaha — Wichita Falls, Texas', 'link': 'https://archive.architecturaldigest.com/article/1951/2/residence-of-mr-charles-p-mcgaha---wichita-falls-texas'}, {'title': 'Summer Home “Bali Hai” of Mr. and Mrs. Hollis S. Baker —Northport Point, Michigan', 'link': 'https://archive.architecturaldigest.com/article/1951/2/summer-home-bali-hai-of-mr-and-mrs-hollis-s-baker--northport-point-michigan'}]",Winter,dimgrey,grey,,black,darkslategrey
1952,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19520101thumbnails/Covers/0x600/19520101.jpg,"[{'title': 'The D. D. Feldman Penthouse — Dallas, Texas', 'link': 'https://archive.architecturaldigest.com/article/1952/1/the-d-d-feldman-penthouse---dallas-texas'}, {'title': 'Residence of Mrs. J. D. Vail and Miss Alice Roemer — Beverly Hills, California', 'link': 'https://archive.architecturaldigest.com/article/1952/1/residence-of-mrs-j-d-vail-and-miss-alice-roemer---beverly-hills-california'}, {'title': 'Residence of Mr. and Mrs. Harold Mirisch — Beverly Hills, California', 'link': 'https://archive.architecturaldigest.com/article/1952/1/residence-of-mr-and-mrs-harold-mirisch---beverly-hills-california'}]",Winter,black,dimgrey,darkslategrey,,grey
1953,January,https://architecturaldigest.blob.core.windows.net/architecturaldigest19530101thumbnails/Covers/0x600/19530101.jpg,"[{'title': 'Room Settings in C. W. STOCKWELL CO. Showrooms', 'link': 'https://archive.architecturaldigest.com/article/1953/1/room-settings-in-c-w-stockwell-co-showrooms'}, {'title': 'Residence of Mr. and Mrs. Charles J. Soss — Beverly Hills, California', 'link': 'https://archive.architecturaldigest.com/article/1953/1/residence-of-mr-and-mrs-charles-j-soss---beverly-hills-california'}, {'title': 'Residence of Mr. and Mrs. J. S. Weil — Beverly Hills, California', 'link': 'https://archive.architecturaldigest.com/article/1953/1/residence-of-mr-and-mrs-j-s-weil---beverly-hills-california'}]",Winter,grey,,dimgrey,,darkslategrey
1953,February,https://architecturaldigest.blob.core.windows.net/architecturaldigest19530201thumbnails/Covers/0x600/19530201.jpg,"[{'title': 'El Rancho Vegas —Las Vegas, Nevada', 'link': 'https://archive.architecturaldigest.com/article/1953/2/el-rancho-vegas--las-vegas-nevada'}, {'title': 'Moncrief River Ranch —Gunnison, Colorado', 'link': 'https://archive.architecturaldigest.com/article/1953/2/moncrief-river-ranch--gunnison-colorado'}, {'title': 'Residence of Dr. and Mrs. Milton Lerner —San Fernando, California', 'link': 'https://archive.architecturaldigest.com/article/1953/2/residence-of-dr-and-mrs-milton-lerner--san-fernando-california'}]",Winter,darkslategrey,grey,,dimgrey,black
